"Ticket","Division"
"19018099999900487234","DEPORTE ACUATICO"
"19018099999900518771","DEPORTE ACUATICO"
"19018099999900503626","DEPORTE ACUATICO"
"19018099999900520354","DEPORTE ACUATICO"
"19018099999900484882","DEPORTE ACUATICO"
"19018099999900501402","DEPORTE ACUATICO"
"19018099999900501401","DEPORTE ACUATICO"
"19018099999900496398","DEPORTE ACUATICO"
"19018099999900502212","DEPORTE ACUATICO"
"19018099999900480082","DEPORTE ACUATICO"
"19018099999900493731","DEPORTE ACUATICO"
"19018099999900516225","DEPORTE ACUATICO"
"19018099999900516225","DEPORTE ACUATICO"
"19018099999900486488","DEPORTE ACUATICO"
"19018099999900502973","DEPORTE ACUATICO"
"19018099999900494923","DEPORTE ACUATICO"
"19018099999900528140","DEPORTE ACUATICO"
"19018099999900482627","DEPORTE ACUATICO"
"19018099999900529089","DEPORTE ACUATICO"
"19018099999900533138","DEPORTE ACUATICO"
"19018099999900491746","DEPORTE ACUATICO"
"19018099999900494810","DEPORTE ACUATICO"
"19018099999900501909","DEPORTE ACUATICO"
"19018099999900482280","DEPORTE ACUATICO"
"19018099999900489927","DEPORTE ACUATICO"
"19018099999900506454","DEPORTE ACUATICO"
"19018099999900512582","DEPORTE ACUATICO"
"19018099999900521220","DEPORTE ACUATICO"
"19018099999900485208","DEPORTE ACUATICO"
"19018099999900513222","DEPORTE ACUATICO"
"19018099999900490695","DEPORTE ACUATICO"
"19018099999900490586","DEPORTE ACUATICO"
"19018099999900491167","DEPORTE ACUATICO"
"19018099999900476246","DEPORTE ACUATICO"
"19018099999900504290","DEPORTE ACUATICO"
"19018099999900489181","DEPORTE ACUATICO"
"19018099999900486406","DEPORTE ACUATICO"
"19018099999900485806","DEPORTE ACUATICO"
"19018099999900494128","DEPORTE ACUATICO"
"19018099999900489192","DEPORTE ACUATICO"
"19018099999900533920","DEPORTE ACUATICO"
"19018099999900518247","DEPORTE ACUATICO"
"19018099999900480246","DEPORTE ACUATICO"
"19018099999900508929","DEPORTE ACUATICO"
"19018099999900480213","DEPORTE ACUATICO"
"19018099999900512526","DEPORTE ACUATICO"
"19018099999900488567","DEPORTE ACUATICO"
"19018099999900499318","DEPORTE ACUATICO"
"19018099999900508235","DEPORTE ACUATICO"
"19018099999900484718","DEPORTE ACUATICO"
"19018099999900477840","DEPORTE ACUATICO"
"19018099999900503568","DEPORTE ACUATICO"
"19018099999900488070","DEPORTE ACUATICO"
"19018099999900510055","DEPORTE ACUATICO"
"19018099999900497514","DEPORTE ACUATICO"
"19018099999900491188","DEPORTE ACUATICO"
"19018099999900535433","DEPORTE ACUATICO"
"19018099999900529986","DEPORTE ACUATICO"
"19018099999900494490","DEPORTE ACUATICO"
"19018099999900510371","DEPORTE ACUATICO"
"19018099999900499814","DEPORTE ACUATICO"
"19018099999900491779","DEPORTE ACUATICO"
"19018099999900479185","DEPORTE ACUATICO"
"19018099999900506623","DEPORTE ACUATICO"
"19018099999900511017","DEPORTE ACUATICO"
"19018099999900477720","DEPORTE ACUATICO"
"19018099999900481575","DEPORTE ACUATICO"
