"Ticket","Familia"
"011185/T-2","BALERINAS"
"015991/T-2","BALERINAS"
"014086/T-2","BALERINAS"
"017073/T-2","BALERINAS"
"013250/T-2","BALERINAS"
"013243/T-2","BALERINAS"
"011806/T-2","BALERINAS"
"011781/T-2","BALERINAS"
"011761/T-2","BALERINAS"
"013914/T-2","BALERINAS"
"013184/T-2","BALERINAS"
"013825/T-2","BALERINAS"
"011630/T-2","BALERINAS"
"015754/T-2","BALERINAS"
"011616/T-2","BALERINAS"
"013056/T-2","BALERINAS"
"011569/T-2","BALERINAS"
"013743/T-2","BALERINAS"
"015700/T-2","BALERINAS"
"011500/T-2","BALERINAS"
"011491/T-2","BALERINAS"
"015064/T-2","BALERINAS"
"011473/T-2","BALERINAS"
"013630/T-2","BALERINAS"
"017347/T-2","BALERINAS"
"015047/T-2","BALERINAS"
"015623/T-2","BALERINAS"
"014383/T-2","BALERINAS"
"011436/T-2","BALERINAS"
"011423/T-2","BALERINAS"
"014354/T-2","BALERINAS"
"011411/T-2","BALERINAS"
"011399/T-2","BALERINAS"
"011395/T-2","BALERINAS"
"011394/T-2","BALERINAS"
"017273/T-2","BALERINAS"
"016196/T-2","BALERINAS"
"017236/T-2","BALERINAS"
"011355/T-2","BALERINAS"
"011351/T-2","BALERINAS"
"011346/T-2","BALERINAS"
"011343/T-2","BALERINAS"
"011306/T-2","BALERINAS"
"014895/T-2","BALERINAS"
"017169/T-2","BALERINAS"
"011265/T-2","BALERINAS"
"011259/T-2","BALERINAS"
"017154/T-2","BALERINAS"
"017153/T-2","BALERINAS"
"013388/T-2","BALERINAS"
"011238/T-2","BALERINAS"
"012707/T-2","BALERINAS"
"011231/T-2","BALERINAS"
"011229/T-2","BALERINAS"
"015416/T-2","BALERINAS"
"016686/T-2","BALERINAS"
"015380/T-2","BALERINAS"
"013310/T-2","BALERINAS"
"017073/T-2","BALERINAS"
"011150/T-2","BALERINAS"
